Date,Open,High,Low,Close
01/02/2024,123.95,125.25,123.6,125.1
01/03/2024,124.85,126.35,122.95,122.95
01/04/2024,122.8,123.25,119.5,121.6
01/05/2024,120.9,121.7,119.95,121.35
01/08/2024,121.25,122.65,120.12,122.3
01/09/2024,121.95,122.25,120.9,121
01/10/2024,120.3,121.45,115.26,116.6
01/11/2024,117.35,118.4,115.45,115.45
01/12/2024,115.1,117.9,114.65,116.9
01/15/2024,116.8,117.65,115.8,116.3
01/16/2024,116.2,116.5,113.7,114.3
01/17/2024,114.5,114.5,112.25,113.5
01/18/2024,114.7,116,113.3,114.4
01/19/2024,114.8,115.45,113.55,114.1
01/22/2024,114.85,116.7,114.81,115.05
01/23/2024,115.95,116.4,114.85,115.6
01/24/2024,116.2,117.25,115.42,116.2
01/25/2024,115.75,116.1,114.35,115.3
01/26/2024,115.65,116.85,115.35,116.2
01/29/2024,115.8,115.85,113.9,114.45
01/30/2024,114.65,115.9,112.3,112.75
01/31/2024,113.3,113.3,111.5,112.2
02/01/2024,116.05,118.75,109,109
02/02/2024,110.95,113.05,109.9,111.35
02/05/2024,110.7,112.75,109.8,109.8
02/06/2024,109.75,110.53,106.3,107.05
02/07/2024,106.7,107.65,105.18,105.3
02/08/2024,105.05,107.45,105,105.7
02/09/2024,105.35,106.45,104.5,104.95
02/12/2024,104.55,105.6,101.7,104.5
02/13/2024,104.35,105.2,101.71,102.3
02/14/2024,102.85,106.1,102.85,104.8
02/15/2024,104.9,107.4,104.27,106.3
02/16/2024,106.55,107.9,106.2,106.2
02/19/2024,106,107.81,105.9,106.75
02/20/2024,107,107.4,105.65,106.85
02/21/2024,106.7,109.3,105.95,108.6
02/22/2024,108.7,109.3,107.45,107.45
02/23/2024,107.8,108.15,104.75,106.9
02/26/2024,106.8,107.35,105,105
02/27/2024,104.75,106.55,104.45,106.25
02/28/2024,106.6,107.35,103.24,104.15
02/29/2024,104.85,105.95,103.3,104.45
03/01/2024,104.85,106.2,103.45,104.65
03/04/2024,106.15,107.5,105.05,106.15
03/05/2024,105.5,108,104.6,106.75
03/06/2024,107,108.85,106.55,106.9
03/07/2024,107.05,110.35,106.7,107.5
03/08/2024,107.45,109.7,106.09,109.4
03/11/2024,109.3,110.6,109.1,110.05
03/12/2024,110.8,111.2,109.74,109.75
03/13/2024,109.85,110.35,108.6,109.05
03/14/2024,108.85,111,108.1,108.45
03/15/2024,108.45,109.8,108.45,108.55
03/18/2024,109,109.4,103.65,104.65
03/19/2024,104.45,104.95,103.5,104.4
03/20/2024,104.9,106,103.65,105
03/21/2024,106.55,107.96,106.41,107.05
03/22/2024,107.2,109.78,106.55,107.6
03/25/2024,107.2,108.4,106.85,107.95
03/26/2024,107.65,109.28,106.8,108.85
03/27/2024,108.75,109.85,107.83,109.25
03/28/2024,110,110.85,109.15,109.65
04/02/2024,109.4,111.45,109.25,109.75
04/03/2024,108.8,109.55,104.25,104.7
04/04/2024,105.3,107.6,105.3,105.7
04/05/2024,104.85,105.5,103.69,104.95
04/08/2024,104.8,106,104.8,106
04/09/2024,105.85,108.15,104.9,107.2
04/10/2024,108,110.15,104.9,106.1
