Date,Open,High,Low,Close
01/02/2024,426.1,426.73,420.66,421.5
01/03/2024,426.06,427.55,421.9,424.83
01/04/2024,434.6,435.22,426.35,430.53
01/05/2024,439.08,440.94,436.63,438.11
01/08/2024,434.65,439.6,434.19,439.33
01/09/2024,436.74,437.65,432.83,435.25
01/10/2024,433.11,443.74,428.63,436.6
01/11/2024,441.62,443.18,436.32,437.03
01/12/2024,451.32,452.65,437.02,437.39
01/16/2024,451.01,455.29,449.57,454.46
01/17/2024,447.27,452.18,445.28,451.59
01/18/2024,448.44,451.43,445.58,447.27
01/19/2024,449.11,456.16,449.11,449.56
01/22/2024,444.05,450.35,444.05,448.99
01/23/2024,444.39,449.62,441.6,443.33
01/24/2024,442.6,448.33,440.5,446.02
01/25/2024,442.3,446.1,441.77,443.57
01/26/2024,437.92,444.66,436.17,442.62
01/29/2024,433.03,439.67,432.63,437.42
01/30/2024,429.84,432.47,427.74,431.2
01/31/2024,421.57,433,421.31,430.98
02/01/2024,420.09,424.88,417.8,423.46
02/02/2024,425.11,427.23,422.02,422.99
02/05/2024,419.59,429.04,418.85,427.99
02/06/2024,418.38,421.08,414.85,418.79
02/07/2024,411.37,417.4,411.06,417
02/08/2024,419.5,419.78,410.29,412.87
02/09/2024,416.87,417.29,410.58,415.49
02/12/2024,413.11,417.94,411.55,417.79
02/13/2024,414.87,418.4,412.1,415.76
02/14/2024,419.82,422.8,413.64,415
02/15/2024,425,428.17,420,426.89
02/16/2024,421.64,429.33,418.21,425.2
02/20/2024,418.25,424.44,417.2,423.03
02/21/2024,422.52,424.81,416,418.01
02/22/2024,425.32,426.5,421.78,422.54
02/23/2024,421.28,426.85,419.88,425.43
02/26/2024,412.42,420.45,410.52,420.18
02/27/2024,408.37,414.9,408.08,411.46
02/28/2024,409.8,410.42,405.57,408.46
02/29/2024,409.01,415.5,407.5,410.37
03/01/2024,415.36,416.16,406.3,406.35
03/04/2024,437.44,438.5,432.1,432.53
03/05/2024,428,433.17,425.8,431.95
03/06/2024,431.66,431.94,426.3,426.59
03/07/2024,426.76,432.52,426.57,428.15
03/08/2024,425.33,425.98,422.4,424.73
